Item Name,Item Image,Item Price,Item Currency,Item Url
Patrón XO Coffee 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Patron_XO_grande.jpg?v=1537500271,549.00,₱,https://boozy.ph/collections/all-products/products/patron-xo-750ml
Stella Rosa Pink Mini 187ml,https://cdn.shopify.com/s/files/1/2141/9909/products/STELLA_ROSA_STELLA_PINK_grande.jpg?v=1537497955,1149.00,₱,https://boozy.ph/collections/all-products/products/stella-rosa-pink-mini-187ml
Mombasa Club Strawberry Gin 700ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Mombasa_Strawberry_grande.jpg?v=1537498879,1249.00,₱,https://boozy.ph/collections/all-products/products/mombasa-club-strawberry-gin-700ml
Aperol Spritz Cocktail Pack,https://cdn.shopify.com/s/files/1/2141/9909/products/Aperol_SPritz_Pack_2_grande.jpg?v=1537495019,349.00,₱,https://boozy.ph/collections/all-products/products/aperol-spritz-cocktail-pack
Moet & Chandon Imperial Brut 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/MoetBrut_grande.jpg?v=1537498743,1399.00,₱,https://boozy.ph/collections/all-products/products/moet-chandon-imperial-brut-750ml
Bulleit Bourbon 1L,https://cdn.shopify.com/s/files/1/2141/9909/products/Bulleit_Bourbon_1L_grande.jpg?v=1537499355,1599.00,₱,https://boozy.ph/collections/all-products/products/bulleit-bourbon-1l
Jack Daniel's Gentleman Jack 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Jack_Daniel_Gentleman_Jack_grande.jpg?v=1537498383,3149.00,₱,https://boozy.ph/collections/all-products/products/jack-daniels-gentleman-jack-750ml
Coca-Cola 330ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Coca_Cola_grande.jpg?v=1537501173,1849.00,₱,https://boozy.ph/collections/all-products/products/coca-cola
Bacardi Gold 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Bacardi_Gold_5e07947c-1627-4c1f-a478-51acc5d5a57e_grande.jpg?v=1542637394,1840.00,₱,https://boozy.ph/collections/all-products/products/bacardi-gold-750ml
Delirium Tremens 330ml,https://cdn.shopify.com/s/files/1/2141/9909/products/DeliriumTremens_grande.jpg?v=1537495196,49.00,₱,https://boozy.ph/collections/all-products/products/delirium-tremens-330ml
Stella Rosa Pink 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Stella_Pink_grande.jpg?v=1537497939,499.00,₱,https://boozy.ph/collections/all-products/products/stella-rosa-pink-750ml
Smirnoff Red 750ml,https://cdn.shopify.com/s/files/1/2141/9909/products/Smirnoff_grande.jpg?v=1537496456,199.00,₱,https://boozy.ph/collections/all-products/products/smirnoff-red-750ml
Balvenie Double Wood 12yo 700ml,https://cdn.shopify.com/s/files/1/2141/9909/products/balvenie_12_yo_grande.jpg?v=1543944020,1149.00,₱,https://boozy.ph/collections/all-products/products/balvenie-double-wood-12yo-700ml
